Demand_ID,Market_ID,Customer_Segment,Potential_Customers,Existing_Customers,Purchase_Potential,Demand_Score,Customer_Growth_Rate
D0001,M001,Small Business,163124,34772,76837,81.8,4.6
D0002,M001,Mid-Market,94162,18171,272889,80.9,5.3
D0003,M001,Enterprise,45209,5587,734406,86.5,4.6
D0004,M001,Startup,61628,9162,82550,82.7,5.2
D0005,M002,Small Business,80821,15722,71921,82.9,4.8
D0006,M002,Mid-Market,51716,9792,215789,84.6,5.0
D0007,M002,Enterprise,24609,3406,661826,82.3,3.4
D0008,M002,Startup,38421,7105,81314,82.7,6.0
D0009,M003,Small Business,19894,3369,61185,66.8,12.5
D0010,M003, Mid-Market ,14339,2534,207720,63.6,14.2
D0011,M003,Enterprise,6335,661,634968,67.9,10.1
D0012,M003,Startup,9821,1269,84043,67.4,11.8
D0013,M004,Small Business,27031,4127,62401,63.4,17.3
D0014,M004,Mid-Market,18529,2860,214140,61.7,15.2
D0015,M004,Enterprise,6779,650,849340,67.7,16.0
D0016,M004,Startup,11436,1746,70872,61.7,22.1
D0017,M005,Small Business,71905,14278,74371,82.4,8.1
D0018,M005,Mid-Market,57118,10819,258105,83.6,6.3
D0019,M005,Enterprise,23257,2835,935495,82.2,6.3
D0020,M005,Startup,32759,5536,80338,82.7,7.8
D0021,M006,Small Business,22257,3947,63438,65.4,19.3
D0022,M006,Mid-Market,15731,2997,247618,60.5,19.2
D0023,M006,Enterprise,6264,610,788262,65.2,15.2
D0024,M006,Startup,8841,1235,90823,64.9,22.7
D0025,M007,Small Business,73342,15676,65938,84.7,14.1
D0026,M007,Mid-Market,53202,12304,268121,80.7,12.6
D0027,M007,Enterprise,20586,2470,914232,86.7,9.7
D0028,M007,Startup,31805,5568,86862,83.8,11.9
D0029,M008,Small Business,13957,2340,51947,62.2,22.9
D0030,M008,Mid-Market,10639,1993,195259,56.5,18.8
D0031,M008,Enterprise,4137,371,614647,63.9,19.6
D0032,M008,Startup,6179,734,76145,62.8,18.5
D0033,M009,Small Business,6372,1178,63741,66.0,14.3
D0034,M009,Mid-Market,4488,707,235428,61.4,12.5
D0035,M009,Enterprise,1796,163,617852,64.3,18.2
D0036,M009,Startup,2983,375,95188,64.6,15.0
D0037,M010,Small Business,51748,11020,62922,80.3,9.7
D0038,M010,Mid-Market,33974,6828,229194,76.4,8.9
D0039,M010,Enterprise,13188,1569,685202,81.3,7.8
D0040,M010,Startup,19177,3404,92320,74.8,10.4
D0041,M011,Small Business,5806,897,57871,65.2,16.4
D0042,M011,Mid-Market,3874,653,206347,59.0,16.5
D0043,M011,Enterprise,1745,171,719587,68.1,14.3
D0044,M011,Startup,2894,361,76306,64.3,13.7
D0045,M012,Small Business,11112,1871,56786,58.3,10.7
D0046,M012,Mid-Market,7911,1370,181762,62.5,11.3
D0047,M012,Enterprise,3123,302,706993,65.7,10.3
D0048,M012,Startup,4726,615,83121,58.8,15.4
D0049,M013,Small Business,224764,44554,62189,80.4,7.0
D0050,M013,Mid-Market,170903,35202,206246,80.1,7.2
D0051,M013,Enterprise,67603,7547,818393,86.9,7.7
D0052,M013,Startup,98622,16744,89485,79.8,8.8
D0053,M014,Small Business,9513,2170,66713,77.8,7.1
D0054,M014,Mid-Market,6322,1324,227698,73.1,9.3
D0055,M014,Enterprise,2875,332,613253,80.2,5.4
D0056,M014,Startup,4156,695,79555,74.7,8.6
D0057,M015,Small Business,13407,2532,68389,78.4,9.1
D0058,M015,Mid-Market,9676,1892,200941,79.3,11.5
D0059,M015,Enterprise,3727,406,714419,84.2,11.6
D0060,M015,Startup,5816,993,74921,79.3,8.6
D0061,M016,Small Business,13779,3062,52485,69.9,13.7
D0062,M016,Mid-Market,8505,1698,187954,73.4,13.3
D0063,M016,Enterprise,3727,423,671077,81.1,11.4
D0064,M016,Startup,5163,735,83570,72.3,12.6
D0065,M017,Small Business,37657,7760,61605,73.4,11.7
D0066,M017,Mid-Market,26363,5555,204344,76.8,12.6
D0067,M017,Enterprise,10906,1311,786468,78.3,9.8
D0068,M017,Startup,17627,2747,92080,78.5,12.6
D0069,M018,Small Business,30303,5154,51796,57.1,18.7
D0070,M018,Mid-Market,20140,3598,232361,56.2,24.4
D0071,M018,Enterprise,9520,1011,616117,62.2,18.9
