Market_ID,City,State,Region,Market_Tier,Population,Estimated_Target_Customers,Average_Income,Market_Growth_Rate,Demand_Score,Digital_Adoption_Score,Infrastructure_Score
M001,Mumbai,Maharashtra,West,Tier 1,12840000,369792,61818,4.4,86.3,69.0,76.3
M002,Pune,Maharashtra,West,Tier 1,6800000,201552,59618,4.8,89.6,73.2,77.0
M003, NASHIK,Maharashtra,West,Tier 2,2080000,51084,53728,12.0,54.1,47.8,46.5
M004,Nagpur,Maharashtra,West,Tier 2,2540000,62585,54465,17.4,53.1,48.2,48.1
M005,Ahmedabad,Gujarat,West,Tier 1,6360000,186729,61431,6.5,91.3,71.8,72.6
M006,Vadodara,Gujarat,West,Tier 2,2140000,52986,55560,18.1,56.2,48.8,55.9
M007,Surat,Gujarat,West,Tier 1,6120000,177235,60592,10.9,89.8,69.8,69.4
M008,Rajkot,Gujarat,West,Tier 2,1490000,36505,52418,20.0,48.1,47.5,45.9
M009,Bhavnagar,Gujarat,West,Tier 2,600000,15072,54472,15.0,53.6,50.6,46.3
M010,Jaipur,Rajasthan,North,Tier 1,3960000,116107,52810,9.0,83.1,71.6,67.4
M011,udaipur  ,Rajasthan,North,Tier 2,610000,15359,49397,13.7,51.4,50.9,53.8
M012,Jodhpur,Rajasthan,North,Tier 2,1030000,25729,46787,12.0,48.0,49.9,42.4
M013,Delhi,Delhi,North,Tier 1,19000000,559360,53484,9.5,86.3,72.2,73.5
M014,Noida,Uttar Pradesh,North,Tier 1,869999,25073,54156,7.3,82.3,69.1,68.0
M015,Gurugram,Haryana,North,Tier 1,1150000,33074,53157,10.2,82.9,68.8,71.5
M016,Chandigarh,Chandigarh,North,Tier 1,1060000,30273,52591,10.6,75.7,67.8,64.8
M017,Lucknow,Uttar Pradesh,North,Tier 1,3500000,99120,52968,12.3,76.2,66.6,66.2
M018,Kanpur,Uttar Pradesh,North,Tier 2,2920000,72883,48818,20.0,48.9,49.8,51.1
M019,Agra,Uttar Pradesh,North,Tier 2,1750000,42000,,19.5,45.7,45.0,53.0
M020,Varanasi,Uttar Pradesh,North,Tier 2,1440000,34876,47643,21.3,42.2,46.1,44.9
M021,Amritsar,Punjab,North,Tier 2,1230000,31217,49589,15.5,51.6,51.9,45.8
M022,Ludhiana,Punjab,North,Tier 2,1739999,44857,49623,12.4,55.9,53.9,48.8
M023,Dehradun,Uttarakhand,North,Tier 2,800000,20079,47010,18.7,48.8,50.5,48.5
M024,Bengaluru,Karnataka,South,Tier 1,13300000,398202,58653,3.0,91.7,74.7,70.6
M025,Mysuru,Karnataka,South,Tier 2,1200000,30311,52087,20.2,53.4,51.3,53.6
M026,Hyderabad,Telangana  ,South,Tier 1,10040000,293770,57525,6.2,89.8,71.3,74.8
M027,Chennai,Tamil Nadu,South,Tier 1,10710000,314017,58462,3.7,88.2,71.6,71.3
M028,Coimbatore,Tamil Nadu,South,Tier 2,2140000,52515,53860,17.9,53.6,47.7,54.1
M029,Madurai,Tamil Nadu,South,Tier 2,1460000,37668,52199,13.4,59.0,54.0,53.8
M030,Kochi,Kerala,South,Tier 2,2130000,53292,51202,21.4,49.7,50.1,49.5
M031,Thiruvananthapuram,Kerala,South,Tier 2,1750000,45360,53587,18.9,63.7,54.6,57.0
M032,Visakhapatnam,Andhra Pradesh,South,Tier 2,2039999,53243,52079,12.9,62.7,55.5,55.0
M033,Vijayawada,Andhra Pradesh,South,Tier 2,1050000,26628,52617,13.9,58.8,51.8,47.2
M034,Kolkata,West Bengal,East,Tier 1,14119999,384628,43761,7.3,63.6,61.2,67.7
M035,Bhubaneswar,Odisha,East,Tier 2,880000,20732,39327,13.7,33.8,42.8,39.5
M036,Patna,Bihar,East,Tier 2,2050000,50143,41406,12.1,37.8,47.3,42.1
M037,Ranchi,Jharkhand,East,Tier 2,1130000,27797,40323,15.3,39.7,48.0,39.7
M038,Guwahati,Assam,East,Tier 2,960000,23423,38283,10.6,34.9,47.0,44.0
M039,Siliguri,West Bengal,East,Tier 2,700000,16604,40702,12.4,33.5,43.6,45.4
M040,Bhopal,Madhya Pradesh,Central,Tier 2,2070000,49597,40573,21.1,33.0,44.8,50.4
M041,Indore,Madhya Pradesh,Central,Tier 1,3210000,89238,45043,6.8,65.4,64.0,61.4
M042,Raipur,Chhattisgarh,Central,Tier 2,1070000,25615,39751,15.7,37.7,44.7,43.6
M043,Jabalpur,Madhya Pradesh,Central,Tier 2,1270000,28981,37495,9.3,23.6,39.1,38.0
M044,Gwalior,Madhya Pradesh,Central,Tier 2,1140000,26242,39268,9.9,29.7,40.1,40.8
M045,Faridabad,Haryana,North,Tier 2,1400000,33488,48584,9.4,42.2,44.6,43.6
M046,Nagercoil,Tamil Nadu,South,Tier 2,229999,5593,51353,17.7,47.3,46.6,47.0
M006,Vadodara,Gujarat,West,Tier 2,2140000,52986,55560,18.1,56.2,48.8,55.9
