Cost_ID,Market_ID,Office_Rent,Employee_Cost,Marketing_Cost,Logistics_Cost,Setup_Cost,Estimated_Annual_Cost
OC001,M001,127391,972908,2244226,193280,901458,5840564
OC002,M002,141866,887614,1201567,163446,1053973,5008992
OC003,M003,59221,602033,208882,117069,613200,2251836
OC004,M004,65292,554338,396949,118717,507667,2361175
OC005,M005,117969,1075898,1010380,180362,795972,4478240
OC006,M006,68050,546157,257898,98949,525101,2244705
OC007,M007,138984,911686,712292,212933,1077852,4582571
OC008,M008,61761,630092,,126986,613096,2264866
OC009,M009,62855,619554,78114,130551,497959,2080438
OC010,M010,96063,782794,617344,233443,1035529,3821866
OC011,M011,48427,554474,97166,135528,625010,1993302
OC012,M012,55525,457744,135015,109201,635203,2003463
OC013,M013,113650,888582,3275646,154001,983728,6665757
OC014,M014,134518,829176,109800,195650,799064,3547906
OC015,M015,116212,938085,192449,144233,773377,3442688
OC016,M016,101766,820203,154271,190110,1052098,3437874
OC017,M017,134785,908628,426687,154434,920569,4027738
OC018,M018,45171,519014,281841,138917,551567,2033391
OC019,M019,52773,569262,158955,104438,650148,2116079
OC020,M020,57703,479884,221036,138189,576262,2107807
OC021,M021,48794,495895,128575,150345,515093,1875436
OC022,M022,52162,561663,230126,123624,493927,2035284
OC023,M023,47330,487934,120211,97318,519987,1793410
OC024,M024,146492,1074822,1427206,166831,848934,5275697
OC025,M025,55030,560097,174837,121746,499414,2016454
OC026,M026,132407,967091,1096514,202547,856420,4711456
OC027,M027,122387,893256,1963302,180015,883249,5388466
OC028,M028,59904,509529,266227,147196,522332,2164132
OC029,M029,63211,624917,232584,134340,552047,2302420
OC030,M030,50038,614359,212482,150372,651915,2229584
OC031,M031,52793,626818,185969,155096,574571,2175970
OC032,M032,50592,562201,198904,116424,487525,1972158
OC033,M033,53580,516066,134855,125108,624070,2043059
OC034,M034,88160,701724,1354766,167234,854155,4135799
OC035,M035,36404,415437,85923,112131,468173,1518512
OC036,M036,43927,423844,285633,119202,529434,1885237
OC037,M037,47186,404013,145575,133923,519106,1768849
OC038,M038,45926,428376,135019,112665,539535,1766707
OC039,M039,44953,447374,74016,96309,573399,1730534
OC040,M040,46609,431295,220925,144546,562614,1918688
OC041,M041,105378,802249,511482,204192,773690,3556149
OC042,M042,41729,394213,150490,96031,603389,1744871
OC043,M043,46401,372752,127582,135562,553854,1746562
OC044,M044,49317,397784,160014,128876,559115,1837593
OC045,M045,48391,491043,214316,121779,534585,1942415
OC046,M046,63301,602765,31066,136703,468617,1998763
OC021,M021,48794,495895,128575,150345,515093,1875436
