Sale_ID,Date,Market_ID,Product_Category,Orders,Customers,Revenue,Cost,Profit,Discount
S000001,2023-01-01,M001,Software,112,77,2176477.77,1407501.64,768976.13,88734.01
S000002,2023-02-01,M001,Software,112,77,2087666.38,1424369.96,663296.42,50107.27
S000003,2023-03-01,M001,Software,109,73,2184059.11,1412749.82,771309.29,190569.04
S000004,2023-04-01,M001,Software,86,51,1623478.59,1100576.84,522901.75,59198.97
S000005,2023-05-01,M001,Software,88,67,1523101.28,1025155.53,497945.75,96498.68
S000006,2023-06-01,M001,Software,97,67,1799594.66,1247987.18,551607.48,61722.76
S000007,2023-07-01,M001,Software,106,64,1905989.85,1291692.02,614297.83,78145.19
S000008,2023-08-01,M001,Software,94,69,1553485.74,1032908.21,520577.53,139645.65
S000009,2023-09-01,M001,Software,115,65,1973307.36,1289185.43,684121.93,168378.68
S000010,2023-10-01,M001,Software,121,93,2161407.5,1398138.45,763269.05,169372.53
S000011,2023-11-01,M001,Software,116,81,2394535.66,1620235.21,774300.45,49202.0
S000012,2023-12-01,M001,Software,120,74,2302229.91,1597139.31,705090.6,67686.43
S000013,2024-01-01,M001,Software,90,51,1682055.57,1099628.51,582427.06,104856.13
S000014,2024-02-01,M001,Software,109,65,2076893.72,1356708.05,720185.67,112561.89
S000015,2024-03-01,M001,Software,124,94,2060302.54,1365598.49,694704.05,81109.2
S000016,2024-04-01,M001,Software,88,65,1677896.9,1095863.52,582033.38,120617.57
S000017,2024-05-01,M001,Software,105,68,1705568.93,1094829.65,610739.28,139545.3
S000018,2024-06-01,M001,Software,116,79,2314858.6,1556396.51,758462.09,70294.3
S000019,2024-07-01,M001,Software,92,57,1862578.34,1276177.84,586400.5,149470.39
S000020,2024-08-01,M001,Software,117,70,2026777.41,1304368.31,722409.1,151214.09
S000021,2024-09-01,M001,Software,117,76,2222178.29,1437023.15,785155.14,189088.86
S000022,2024-10-01,M001,Software,126,100,2500907.57,1726338.91,774568.66,54357.34
S000023,2024-11-01,M001,Software,122,77,2487417.92,1705209.83,782208.09,200198.54
S000024,2024-12-01,M001,Software,125,77,2467898.16,1589044.43,878853.73,200027.28
S000025,2025-01-01,M001,Software,118,71,2345207.49,1559605.65,785601.84,97005.66
S000026,2025-02-01,M001,Software,116,70,1891552.83,1227594.69,663958.14,81295.79
S000027,2025-03-01,M001,Software,128,101,2234376.0,1510189.95,724186.05,107199.75
S000028,2025-04-01,M001,Software,123,84,2512467.76,1618834.5,893633.26,220916.37
S000029,2025-05-01,M001,Software,97,76,1687276.07,1086444.07,600832.0,85071.55
S000030,2025-06-01,M001,Software,116,72,2195641.02,1466875.67,728765.35,103115.38
S000031,2025-07-01,M001,Software,111,68,2152238.25,1372055.06,780183.19,182488.84
S000032,2025-08-01,M001,Software,110,80,2149265.29,1456423.21,692842.08,97781.91
S000033,2025-09-01,M001,Software,95,68,1680160.52,1102580.04,577580.48,133339.34
S000034,2025-10-01,M001,Software,126,78,2216564.4,1467151.9,749412.5,106767.53
S000035,2025-11-01,M001,Software,112,65,2026304.95,1405894.59,620410.36,136597.79
S000036,2025-12-01,M001,Software,134,94,2352272.77,1576672.53,775600.24,47112.3
S000037,2023-01-01,M001,Business Services,65,45,622250.7,413982.95,208267.75,31704.41
S000038,2023-02-01,M001,Business Services,61,40,617787.07,423283.91,194503.16,19694.06
S000039,2023-03-01,M001,Business Services,63,42,600019.37,394519.51,205499.86,46375.28
S000040,2023-04-01,M001,Business Services,72,51,619591.79,402330.56,217261.23,13451.2
S000041,2023-05-01,M001,Business Services,62,41,620738.41,398371.1,222367.31,30422.93
S000042,2023-06-01,M001,Business Services,70,41,676675.79,451385.13,225290.66,25090.4
S000043,2023-07-01,M001,Business Services,71,39,695066.58,475149.44,219917.14,19087.3
S000044,2023-08-01,M001,Business Services,67,39,687113.38,459319.81,227793.57,16157.67
S000045,2023-09-01,M001,Business Services,63,48,575003.46,394156.24,180847.22,38370.23
S000046,2023-10-01,M001,Business Services,85,59,870195.08,601205.21,268989.87,54722.79
S000047,2023-11-01,M001,Business Services,79,53,787533.67,527862.02,259671.65,65211.38
S000048,2023-12-01,M001,Business Services,80,53,694654.48,453077.54,241576.94,44899.9
S000049,2024-01-01,M001,Business Services,75,51,713263.8,466385.97,246877.83,18133.9
S000050,2024-02-01,M001,Business Services,65,40,573257.52,383973.12,189284.4,17017.83
S000051,2024-03-01,M001,Business Services,69,49,668571.57,428724.01,239847.56,
S000052,2024-04-01,M001,Business Services,71,46,608141.79,402959.99,205181.8,50681.74
S000053,2024-05-01,M001,Business Services,72,52,721990.59,493361.93,228628.66,33664.02
S000054,2024-06-01,M001,Business Services,60,38,587719.14,404707.44,183011.7,50978.83
S000055,2024-07-01,M001,Business Services,69,50,643687.04,433584.47,210102.57,22810.79
S000056,2024-08-01,M001,Business Services,65,42,530744.88,349000.73,181744.15,35846.47
S000057,2024-09-01,M001,Business Services,69,40,631462.32,407329.61,224132.71,40134.47
S000058,2024-10-01,M001,Business Services,66,42,618412.21,395181.56,223230.65,40192.14
S000059,2024-11-01,M001,Business Services,69,45,566706.69,374109.29,192597.4,19730.58
S000060,2024-12-01,M001,Business Services,74,54,662524.51,452186.62,210337.89,51832.41
S000061,2025-01-01,M001,Business Services,67,38,545622.03,365438.62,180183.41,49102.46
S000062,2025-02-01,M001,Business Services,69,49,680186.43,460149.71,220036.72,49515.07
S000063,2025-03-01,M001,Business Services,90,53,733126.95,473998.05,259128.9,21140.06
S000064,2025-04-01,M001,Business Services,77,53,661462.36,449376.29,212086.07,48738.44
S000065,2025-05-01,M001,Business Services,66,46,645666.96,415985.13,229681.83,49943.04
S000066,2025-06-01,M001,Business Services,84,48,685253.22,449606.58,235646.64,46195.87
S000067,2025-07-01,M001,Business Services,84,54,815537.78,523542.46,291995.32,55736.31
S000068,2025-08-01,M001,Business Services,77,44,757532.31,521498.57,236033.74,46988.83
S000069,2025-09-01,M001,Business Services,66,52,650821.35,428391.59,222429.76,32532.26
S000070,2025-10-01,M001,Business Services,78,52,691686.07,476139.08,215546.99,53649.36
S000071,2025-11-01,M001,Business Services,72,56,686164.79,471479.22,214685.57,47696.42
S000072,2025-12-01,M001,Business Services,80,58,821785.27,537122.92,284662.35,62927.34
S000073,2023-01-01,M001,Consulting,78,51,2111375.28,1379791.63,731583.65,168107.53
S000074,2023-02-01,M001,Consulting,87,49,2436886.96,1588927.81,847959.15,128008.68
S000075,2023-03-01,M001,Consulting,88,56,1995785.0,1374012.49,621772.51,65319.63
S000076,2023-04-01,M001,Consulting,72,53,1773152.48,1223863.88,549288.6,122494.45
S000077,2023-05-01,M001,Consulting,74,40,2103478.94,1351562.58,751916.36,148095.91
S000078,2023-06-01,M001,Consulting,80,59,2145304.67,1450556.71,694747.96,116613.38
